Campaign Name,Content Title,Content Network Name,Impression,Quartile100
Rate Realities_News_July 2025,null,Samsung TV Plus,59180,58041
Rate Realities_News_July 2025,null,Hearst,17638,17095
Rate Realities_News_July 2025,null,Zeam Media,15361,15236
Rate Realities_News_July 2025,The 35-Hour Round of Golf,NEWSON,11607,11560
Rate Realities_News_July 2025,103-Yr-Old Woman's Guide to Long Life: Golfing & Bowling!,NEWSON,11538,11489
Rate Realities_News_July 2025,DoorDash Delivers to the Tarmac?,NEWSON,11463,11424
Rate Realities_News_July 2025,How Students are Using STEM Project for Good,NEWSON,11404,11367
Rate Realities_News_July 2025,Lori Vallow Found Guilty of More Murder,NEWSON,11402,11358
Rate Realities_News_July 2025,Karen Read Found NOT GUILTY of Murder,NEWSON,11367,11332
Rate Realities_News_July 2025,"Alligator Suspected of ""Being a Dinosaur""",NEWSON,11338,11296
Rate Realities_News_July 2025,Two New Dinosaur Species Discovered,NEWSON,11309,11265
Rate Realities_News_July 2025,Man Attacks Victim Claiming He's a Werewolf,NEWSON,11306,11277
Rate Realities_News_July 2025,"Hot Dog Eating Pro, Joey Chestnut, Returns!",NEWSON,11292,11267
Rate Realities_News_July 2025,null,RealAmericasVoice,10795,10597
Rate Realities_News_July 2025,V: FTS: FAST: Live: Fox Local^,null,8394,8300
Rate Realities_News_July 2025,V: FTS: FAST: Live: LiveNOW^,null,7129,7107
Rate Realities_News_July 2025,Man Gets Stuck in Quicksand  but Finds Love,NEWSON,7074,7028
Rate Realities_News_July 2025,Owner Sought for Udderly Lost Cows,NEWSON,7034,6987
Rate Realities_News_July 2025,Lori Vallow Daybell Convicted AGAIN,NEWSON,7002,6964
Rate Realities_News_July 2025,Woman Calls AAA Amidst Police Standoff,NEWSON,7001,6955
Rate Realities_News_July 2025,Karen Read's Second Trial Begins,NEWSON,6971,6929
Rate Realities_News_July 2025,What is 'Margarita Burn?',NEWSON,6945,6906
Rate Realities_News_July 2025,The Most Memorable Mother's Day Gifts,NEWSON,6919,6890
Rate Realities_News_July 2025,The Most Bizarre Items Left in Ubers,NEWSON,6913,6871
Rate Realities_News_July 2025,Study Finds Pets Bring $90k Worth of Happiness,NEWSON,6895,6864
Rate Realities_News_July 2025,200 yr-old Notes Between Students Found in School Walls,NEWSON,6793,6767
Rate Realities_News_July 2025,LiveNOW from FOX,null,4440,4385
Rate Realities_News_July 2025,Local_News_Program,Hearst,3913,3870
Rate Realities_News_July 2025,LiveNOW from FOX,FoxDigital,3840,3790
Rate Realities_News_July 2025,"Fubo: Watch Live TV & Sports, Shows, Movies & News",null,3802,3771
Rate Realities_News_July 2025,null,WeatherNation,3794,3678
Rate Realities_News_July 2025,LiveNOW from FOX,Fox News,3355,3328
Rate Realities_News_July 2025,"Scooby Doo and ""Loony Toon"" Arrested",NEWSON,3342,3333
Rate Realities_News_July 2025,Woman Survives After Tornado Flips Home,NEWSON,3316,3303
Rate Realities_News_July 2025,Killer of 'Idaho 4' Pleads Guilty,NEWSON,3285,3283
Rate Realities_News_July 2025,Luxury Bear Found Napping in Hot Tub,NEWSON,3281,3271
Rate Realities_News_July 2025,Barry Morphew Re-Arrested for Wife's Murder,NEWSON,3279,3270
Rate Realities_News_July 2025,Cocktail Bar Offers Immersive Flight Experience,NEWSON,3272,3264
Rate Realities_News_July 2025,Man Becomes 1st to Swim Area Where 'Jaws' Movie was Filmed,NEWSON,3246,3231
Rate Realities_News_July 2025,"Parrot Goes Viral for Having ""Potty-Mouth""",NEWSON,3222,3215
Rate Realities_News_July 2025,Heroic Shelter Dog Detects Man's Seizure,NEWSON,3218,3204
Rate Realities_News_July 2025,"Viral Jewelry Store ""Aquarium"" Fail",NEWSON,3215,3205
Rate Realities_News_July 2025,Headlines from CNN,null,3141,3124
Rate Realities_News_July 2025,Top Weather News US Regional Forecasts and Severe Coverage,WeatherNation,3136,3019
Rate Realities_News_July 2025,null,very_local_by_hearst_television,2698,2672
Rate Realities_News_July 2025,null,TelevisaUnivision,1953,1906
Rate Realities_News_July 2025,Local_News_Program,null,1860,1795
Rate Realities_News_July 2025,Fubo: Watch Live TV & Sports,null,1855,1837
Rate Realities_News_July 2025,null,Univision,1519,1463
Rate Realities_News_July 2025,Local_News_Program,Tegna,1403,1376
Rate Realities_News_July 2025,The National Report,scripps,1322,1297
Rate Realities_News_July 2025,Local_News_Program,Sinclair,1227,1204
Rate Realities_News_July 2025,Securing America,RealAmericasVoice,1166,1165
Rate Realities_News_July 2025,The Charlie Kirk Show,RealAmericasVoice,1096,1093
Rate Realities_News_July 2025,Headlines from CNN,CNN,1093,1082
Rate Realities_News_July 2025,CNN Headline Express,null,1086,1080
Rate Realities_News_July 2025,Today As It Happened,scripps,1055,1028
